id,year,country,state_province,district,actors,side_a,side_b,conflict,deaths_a,deaths_b,deaths_civilians,deaths_unknown,deaths_total,latitude,longitude,location_name,headline,date,month,month_name,year_month,violence_type,severity
416163,2021,Nigeria,Borno state,,Government of Nigeria - IS,Government of Nigeria,IS,Nigeria: Islamic State,18,0,0,0,18,12.652114,13.362951,"on the road between the towns of Monguno and Gajiram in the restive Borno state

///

between Borno state capital Maiduguri and Monguno garrison town",IS claims killing 25 Nigerian soldiers;Jihadists kill 16 Nigerian troops in ambush: military sources;ISWAP Kills Soldiers In Northern Borno Deadly Ambush,2021-09-15,9,Sep,2021-09,State-based conflict,Medium (6–20)
416985,2021,Nigeria,Ebonyi state,Ohaozara lga,Government of Nigeria - IPOB,Government of Nigeria,IPOB,Nigeria: Biafra,0,2,0,0,2,6.060361,7.878007,"in Ugwulangwu, in the Onicha Local Government Area of the state","Police kill two suspected IPOB members in Ebonyi, recover arms",2021-09-15,9,Sep,2021-09,State-based conflict,Low (1–5)
416587,2021,Cameroon,Far North region,Mayo-Tsanaga department,JAS - Civilians,JAS,Civilians,JAS - Civilians,0,0,10,0,10,10.58221,13.79351,in Mayo-Tsanaga division,Cameroon SEPTEMBER 2021,2021-09-15,9,Sep,2021-09,One-sided (civilians),Medium (6–20)
416976,2021,Nigeria,Benue state,Guma lga,Fulani - Tiv,Fulani,Tiv,Fulani - Tiv,0,2,0,0,2,8.160068,8.591141,at Yelwata community in  Guma Local Government Area of Benue State,"Two Killed, One Abducted By Suspected Herdsmen In Benue",2021-09-16,9,Sep,2021-09,Non-state conflict,Low (1–5)
416628,2021,Cameroon,North-West region,Mezam département,Government of Cameroon - Civilians,Government of Cameroon,Civilians,Government of Cameroon - Civilians,0,0,2,0,2,6.119622,10.260061,"Babanki, in the North West region",REVENGE MISSION,2021-09-16,9,Sep,2021-09,One-sided (civilians),Low (1–5)
416206,2021,Cameroon,North-West region,Ngo-Ketunjia département,Government of Cameroon - Ambazonia insurgents,Government of Cameroon,Ambazonia insurgents,Cameroon: Ambazonia,15,0,13,0,28,5.981071,10.361441,in Bamessing; in the restive North West Region,Cameroon: Ambazonia fighters kill 15 soldiers in restive NW region;Rebels Use Smuggled Anti-Tank Rockets to Kill 28 People;Rebel attacks kill 15 soldiers in troubled Cameroon;Cameroon separatists kill 15 soldiers in attacks using explosives;Cameroon SEPTEMBER 2021,2021-09-16,9,Sep,2021-09,State-based conflict,High (21–50)
416829,2021,Nigeria,Yobe state,Gujba lga,IS - Yan Gora,IS,Yan Gora,IS - Yan Gora,0,2,0,0,2,11.26889,11.99694,in Buni Yadi,"More attacks from ISWAP this week, three of them on Tuesday",2021-09-17,9,Sep,2021-09,Non-state conflict,Low (1–5)
416577,2021,Nigeria,Anambra state,,Government of Nigeria - IPOB,Government of Nigeria,IPOB,Nigeria: Biafra,0,0,0,0,0,6.14543,6.788452,"police post in Idemili North area of Anambra state

///

at the Ukaegbu Junction by Ezeiweka Road, Awada Obosi Layout in Idemili North Local Government Area of Anambra state","Gunmen Kill Police Officer, Two Others In Anambra State;Nigeria SEPTEMBER 2021",2021-09-19,9,Sep,2021-09,State-based conflict,No deaths recorded
416252,2021,Chad,Lac region,,IS - Civilians,IS,Civilians,IS - Civilians,0,0,9,0,9,13.5,14.5,Kadjigoroum; in the Lake Chad area,Nine Chad villagers killed in jihadist assault;Chad SEPTEMBER 2021;ARB Volume 58 Number 9 N BRIEF,2021-09-19,9,Sep,2021-09,One-sided (civilians),Medium (6–20)
416907,2021,Cameroon,North-West region,Ngo-Ketunjia département,Ambazonia insurgents - Civilians,Ambazonia insurgents,Civilians,Ambazonia insurgents - Civilians,0,0,1,0,1,5.98843,10.43859,Ndop in the North West region,"Daily Dose of News Roundup, September 21st 2021;Amba boys execute head teacher of GS Ndop",2021-09-20,9,Sep,2021-09,One-sided (civilians),Low (1–5)
